departamento,municipio,universidad,semestre,programa,rol,edad,sexo,orientacion,identidad,discapacidad,etnia,religion,estado_civil,origen,estrato,target_vg,target_frecuencia,target_denuncia,target_apoyoU,target_percepcion,target_semestre,target_programa,target_rol,target_rangoEdad,target_sexo,target_orientacion,target_identidad,target_discapacidad,target_etnia,target_religion,target_estadoCivil,target_origen,target_estrato
Boyacá,Tunja,Universidad C,Octavo,IngenieriaSistemas,Administrativx,37,intersexual,otra,mujer,sensoriales,ninguna,otra,divorciado,municipioLocal,4,0,siempre,0,1,muyMala,Décimo,AdministracionEmpresas,Docente,menores18,macho,gay,hombre,psicosociales,indigena,catolicismo,soltero,otroDepartamento,6
Córdoba,Tunja,Universidad C,Quinto,Psicologia,Docente,21,hembra,bisexual,otra,ninguna,raizales,catolicismo,unionLibre,otroPais,2,1,siempre,0,0,mala,Sexto,ContaduriaPublica,Externo,entre18y25,macho,bisexual,mujer,ninguna,ninguna,evangelismo,viudo,municipioLocal,4
Valle del Cauca,Tunja,Universidad B,Tercero,Psicologia,Docente,38,hembra,hetero,otra,ninguna,ninguna,evangelismo,unionLibre,municipioLocal,2,0,siempre,0,0,muyBuena,Séptimo,AdministracionEmpresas,Externo,entre26y40,hembra,gay,otra,ninguna,gitanos,catolicismo,divorciado,otroDepartamento,5
Córdoba,Tunja,Universidad A,Sexto,ContaduriaPublica,Administrativx,20,intersexual,bisexual,mujer,intelectuales,gitanos,agnosticismo,unionLibre,otroPais,2,1,nunca,0,0,muyMala,Décimo,Psicologia,Estudiante,mayores40,hembra,bisexual,hombre,sensoriales,raizales,cristianismo,casado,otroDepartamento,3
Córdoba,Montería,Universidad B,Cuarto,ContaduriaPublica,Externo,25,hembra,bisexual,hombre,sensoriales,indigena,ateismo,casado,otroMunicipio,3,1,puntomedio,0,0,mala,Quinto,Derecho,Estudiante,mayores40,macho,otra,hombre,multiples,afrocolombianos,agnosticismo,casado,otroMunicipio,6
Cundinamarca,Montería,Universidad A,Noveno,Derecho,Externo,40,intersexual,otra,otra,intelectuales,gitanos,ateismo,viudo,otroPais,6,0,nunca,0,1,regular,Octavo,AdministracionEmpresas,Estudiante,entre26y40,intersexual,bisexual,otra,intelectuales,ninguna,evangelismo,viudo,municipioLocal,2
Valle del Cauca,Bogotá,Universidad A,Tercero,Psicologia,Docente,33,hembra,bisexual,hombre,ninguna,gitanos,ateismo,divorciado,otroPais,5,1,nunca,0,0,mala,Sexto,Derecho,Externo,entre18y25,hembra,bisexual,otra,sensoriales,indigena,ateismo,soltero,otroDepartamento,1
Valle del Cauca,Medellín,Universidad A,Cuarto,ContaduriaPublica,Docente,30,macho,gay,hombre,fisicas,raizales,agnosticismo,soltero,otroPais,5,0,nunca,1,1,buena,Quinto,Derecho,Docente,menores18,macho,bisexual,hombre,psicosociales,gitanos,evangelismo,unionLibre,municipioLocal,5
Valle del Cauca,Tunja,Universidad B,Séptimo,IngenieriaSistemas,Docente,20,macho,bisexual,hombre,psicosociales,indigena,catolicismo,unionLibre,municipioLocal,4,1,puntomedio,1,0,muyBuena,Cuarto,ContaduriaPublica,Docente,entre26y40,macho,otra,otra,multiples,ninguna,evangelismo,casado,otroMunicipio,3
Córdoba,Bogotá,Universidad A,Séptimo,ContaduriaPublica,Estudiante,26,hembra,otra,hombre,sensoriales,gitanos,ateismo,unionLibre,otroDepartamento,4,0,nunca,0,0,muyBuena,Sexto,IngenieriaSistemas,Administrativx,mayores40,macho,lesbiana,mujer,sensoriales,afrocolombianos,cristianismo,viudo,municipioLocal,6
Boyacá,Medellín,Universidad B,Cuarto,ContaduriaPublica,Docente,31,hembra,otra,otra,multiples,raizales,catolicismo,soltero,otroPais,4,1,casinunca,1,1,buena,Sexto,AdministracionEmpresas,Externo,entre18y25,intersexual,bisexual,otra,psicosociales,indigena,catolicismo,viudo,otroMunicipio,5
Valle del Cauca,Cali,Universidad C,Sexto,Psicologia,Estudiante,30,intersexual,otra,otra,multiples,indigena,evangelismo,soltero,municipioLocal,6,0,siempre,1,0,muyMala,Sexto,ContaduriaPublica,Administrativx,mayores40,macho,lesbiana,otra,psicosociales,raizales,catolicismo,viudo,otroMunicipio,2
Córdoba,Montería,Universidad C,Tercero,Psicologia,Administrativx,24,macho,hetero,hombre,fisicas,afrocolombianos,otra,casado,municipioLocal,1,0,siempre,1,1,buena,Primero,ContaduriaPublica,Administrativx,menores18,macho,hetero,hombre,intelectuales,gitanos,ateismo,unionLibre,otroMunicipio,3
Cundinamarca,Medellín,Universidad A,Sexto,AdministracionEmpresas,Externo,32,intersexual,gay,hombre,intelectuales,raizales,otra,divorciado,municipioLocal,4,0,casisiempre,1,0,muyBuena,Sexto,Derecho,Administrativx,entre26y40,intersexual,gay,otra,ninguna,ninguna,cristianismo,casado,otroDepartamento,5
Boyacá,Cali,Universidad B,Segundo,IngenieriaSistemas,Docente,24,hembra,hetero,mujer,intelectuales,ninguna,catolicismo,unionLibre,otroDepartamento,2,0,casinunca,0,0,regular,Primero,AdministracionEmpresas,Administrativx,menores18,macho,lesbiana,hombre,psicosociales,ninguna,evangelismo,viudo,otroPais,3
Cundinamarca,Medellín,Universidad C,Octavo,Psicologia,Externo,55,hembra,lesbiana,mujer,ninguna,indigena,catolicismo,viudo,otroDepartamento,4,1,puntomedio,0,0,muyMala,Quinto,ContaduriaPublica,Administrativx,entre18y25,macho,hetero,mujer,psicosociales,ninguna,otra,unionLibre,otroDepartamento,3
Boyacá,Montería,Universidad B,Segundo,Derecho,Externo,51,intersexual,gay,mujer,fisicas,gitanos,otra,casado,otroDepartamento,2,0,siempre,1,1,mala,Séptimo,Psicologia,Externo,entre26y40,hembra,gay,otra,ninguna,ninguna,catolicismo,soltero,municipioLocal,5
Córdoba,Montería,Universidad B,Séptimo,IngenieriaSistemas,Docente,58,hembra,bisexual,otra,ninguna,gitanos,ateismo,casado,otroDepartamento,3,0,nunca,1,0,regular,Primero,ContaduriaPublica,Estudiante,menores18,macho,bisexual,otra,fisicas,indigena,catolicismo,divorciado,otroDepartamento,3
Antioquia,Bogotá,Universidad A,Noveno,IngenieriaSistemas,Docente,39,macho,otra,mujer,ninguna,ninguna,cristianismo,viudo,otroMunicipio,1,0,casisiempre,1,0,muyMala,Primero,Psicologia,Administrativx,menores18,intersexual,bisexual,hombre,psicosociales,raizales,agnosticismo,casado,otroDepartamento,2
Boyacá,Tunja,Universidad C,Primero,Psicologia,Administrativx,41,intersexual,lesbiana,otra,multiples,ninguna,cristianismo,viudo,otroDepartamento,1,0,casisiempre,1,0,muyBuena,Sexto,IngenieriaSistemas,Docente,menores18,hembra,bisexual,hombre,multiples,afrocolombianos,evangelismo,unionLibre,otroPais,5
Cundinamarca,Medellín,Universidad A,Octavo,IngenieriaSistemas,Estudiante,54,macho,gay,otra,ninguna,gitanos,agnosticismo,viudo,otroDepartamento,6,0,siempre,1,1,muyBuena,Séptimo,Psicologia,Externo,entre18y25,macho,otra,otra,sensoriales,gitanos,cristianismo,divorciado,municipioLocal,6
Córdoba,Medellín,Universidad A,Séptimo,Psicologia,Estudiante,18,macho,hetero,otra,ninguna,indigena,otra,soltero,otroDepartamento,6,1,casinunca,0,1,regular,Sexto,Psicologia,Administrativx,menores18,intersexual,otra,hombre,ninguna,ninguna,catolicismo,divorciado,otroMunicipio,5
Boyacá,Cali,Universidad C,Sexto,ContaduriaPublica,Externo,27,macho,otra,otra,multiples,raizales,otra,unionLibre,otroPais,5,1,casisiempre,0,1,muyMala,Quinto,Derecho,Docente,mayores40,macho,otra,otra,ninguna,ninguna,cristianismo,unionLibre,otroMunicipio,2
Antioquia,Montería,Universidad C,Sexto,AdministracionEmpresas,Docente,60,intersexual,hetero,mujer,intelectuales,ninguna,agnosticismo,soltero,otroPais,3,0,siempre,0,0,mala,Sexto,ContaduriaPublica,Administrativx,entre26y40,hembra,otra,mujer,ninguna,raizales,evangelismo,unionLibre,municipioLocal,2
Antioquia,Medellín,Universidad B,Sexto,ContaduriaPublica,Administrativx,33,hembra,gay,hombre,sensoriales,ninguna,cristianismo,unionLibre,otroDepartamento,6,0,casinunca,1,1,mala,Tercero,IngenieriaSistemas,Estudiante,entre26y40,intersexual,hetero,otra,multiples,raizales,evangelismo,unionLibre,otroDepartamento,2
Valle del Cauca,Montería,Universidad C,Noveno,Psicologia,Administrativx,25,macho,gay,hombre,psicosociales,ninguna,evangelismo,soltero,otroMunicipio,2,0,siempre,1,1,buena,Noveno,ContaduriaPublica,Externo,menores18,hembra,hetero,mujer,ninguna,indigena,catolicismo,viudo,otroPais,6
Valle del Cauca,Medellín,Universidad B,Segundo,Psicologia,Administrativx,42,macho,lesbiana,hombre,ninguna,afrocolombianos,ateismo,divorciado,otroPais,3,0,siempre,1,1,regular,Quinto,Psicologia,Estudiante,entre18y25,intersexual,bisexual,mujer,multiples,indigena,ateismo,soltero,otroPais,6
Cundinamarca,Bogotá,Universidad B,Primero,ContaduriaPublica,Administrativx,29,macho,bisexual,mujer,sensoriales,indigena,ateismo,unionLibre,municipioLocal,1,0,casinunca,1,1,muyMala,Segundo,Psicologia,Docente,mayores40,intersexual,gay,hombre,intelectuales,indigena,cristianismo,viudo,municipioLocal,3
Boyacá,Tunja,Universidad B,Sexto,Derecho,Administrativx,42,hembra,hetero,hombre,multiples,indigena,evangelismo,casado,otroPais,2,1,casinunca,1,1,regular,Décimo,ContaduriaPublica,Administrativx,mayores40,macho,otra,hombre,fisicas,gitanos,cristianismo,divorciado,municipioLocal,3
Boyacá,Medellín,Universidad C,Décimo,Derecho,Estudiante,34,hembra,lesbiana,mujer,sensoriales,indigena,evangelismo,unionLibre,municipioLocal,3,0,casinunca,1,0,mala,Décimo,IngenieriaSistemas,Estudiante,entre26y40,intersexual,gay,hombre,ninguna,indigena,agnosticismo,divorciado,otroDepartamento,4
Valle del Cauca,Montería,Universidad A,Octavo,Derecho,Estudiante,43,intersexual,otra,mujer,psicosociales,indigena,cristianismo,unionLibre,otroPais,1,1,siempre,1,1,muyMala,Séptimo,IngenieriaSistemas,Estudiante,entre26y40,intersexual,hetero,hombre,fisicas,ninguna,evangelismo,divorciado,otroPais,3
Boyacá,Bogotá,Universidad B,Tercero,Psicologia,Estudiante,31,hembra,bisexual,mujer,sensoriales,indigena,agnosticismo,unionLibre,otroDepartamento,6,0,casisiempre,0,1,muyBuena,Tercero,Derecho,Administrativx,mayores40,macho,otra,otra,ninguna,indigena,evangelismo,unionLibre,municipioLocal,2
